Mês;IPCA-15
01-05-00;6,57
01-06-00;6,68
01-07-00;6,67
01-08-00;7,92
01-09-00;7,9
01-10-00;7,23
01-11-00;6,36
01-12-00;6,04
01-01-01;6,01
01-02-01;6,18
01-03-01;6,47
01-04-01;6,5
01-05-01;6,93
01-06-01;7,25
01-07-01;7,42
01-08-01;6,57
01-09-01;6,49
01-10-01;6,69
01-11-01;7,57
01-12-01;7,51
01-01-02;7,5
01-02-02;7,44
01-03-02;7,48
01-04-02;7,78
01-05-02;7,7
01-06-02;7,65
01-07-02;7,47
01-08-02;7,28
01-09-02;7,54
01-10-02;8,1
01-11-02;9,27
01-12-02;11,99
01-01-03;13,5
01-02-03;15,48
01-03-03;16,33
01-04-03;16,74
01-05-03;17,24
01-06-03;17,12
01-07-03;16,01
01-08-03;15,17
01-09-03;15,12
01-10-03;14,84
01-11-03;12,69
01-12-03;9,86
01-01-04;8,46
01-02-04;7,09
01-03-04;6,31
01-04-04;5,33
01-05-04;5,01
01-06-04;5,36
01-07-04;6,53
01-08-04;7,09
01-09-04;7
01-10-04;6,64
01-11-04;7,13
01-12-04;7,54
01-01-05;7,54
01-02-05;7,36
01-03-05;7,31
01-04-05;7,88
01-05-05;8,19
01-06-05;7,72
01-07-05;6,84
01-08-05;6,3
01-09-05;5,95
01-10-05;6,21
01-11-05;6,36
01-12-05;5,88
01-01-06;5,7
01-02-06;5,47
01-03-06;5,49
01-04-06;4,89
01-05-06;4,31
01-06-06;4,03
01-07-06;3,89
01-08-06;3,8
01-09-06;3,69
01-10-06;3,41
01-11-06;2,99
01-12-06;2,96
01-01-07;2,97
01-02-07;2,91
01-03-07;2,95
01-04-07;3
01-05-07;2,99
01-06-07;3,44
01-07-07;3,71
01-08-07;3,95
01-09-07;4,2
01-10-07;4,15
01-11-07;4
01-12-07;4,36
01-01-08;4,55
01-02-08;4,74
01-03-08;4,55
01-04-08;4,94
01-05-08;5,25
01-06-08;5,89
01-07-08;6,3
01-08-08;6,23
01-09-08;6,2
01-10-08;6,26
01-11-08;6,54
01-12-08;6,1
01-01-09;5,79
01-02-09;5,77
01-03-09;5,65
01-04-09;5,4
01-05-09;5,44
01-06-09;4,89
01-07-09;4,47
01-08-09;4,34
01-09-09;4,27
01-10-09;4,14
01-11-09;4,09
01-12-09;4,18
01-01-10;4,31
01-02-10;4,63
01-03-10;5,09
01-04-10;5,22
01-05-10;5,26
01-06-10;5,06
01-07-10;4,74
01-08-10;4,44
01-09-10;4,57
01-10-10;5,03
01-11-10;5,47
01-12-10;5,79
01-01-11;6,04
01-02-11;6,08
01-03-11;6,13
01-04-11;6,44
01-05-11;6,51
01-06-11;6,55
01-07-11;6,75
01-08-11;7,1
01-09-11;7,33
01-10-11;7,12
01-11-11;6,69
01-12-11;6,56
01-01-12;6,44
01-02-12;5,98
01-03-12;5,61
01-04-12;5,25
01-05-12;5,05
01-06-12;5
01-07-12;5,24
01-08-12;5,35
01-09-12;5,31
01-10-12;5,56
01-11-12;5,64
01-12-12;5,78
01-01-13;6,02
01-02-13;6,18
01-03-13;6,43
01-04-13;6,51
01-05-13;6,46
01-06-13;6,67
01-07-13;6,4
01-08-13;6,15
01-09-13;5,93
01-10-13;5,75
01-11-13;5,78
01-12-13;5,85
01-01-14;5,63
01-02-14;5,65
01-03-14;5,9
01-04-14;6,19
01-05-14;6,31
01-06-14;6,41
01-07-14;6,51
01-08-14;6,49
01-09-14;6,62
01-10-14;6,62
01-11-14;6,42
01-12-14;6,46
01-01-15;6,69
01-02-15;7,36
01-03-15;7,9
01-04-15;8,22
01-05-15;8,24
01-06-15;8,8
01-07-15;9,25
01-08-15;9,57
01-09-15;9,57
01-10-15;9,77
01-11-15;10,28
01-12-15;10,71
01-01-16;10,74
01-02-16;10,84
01-03-16;9,95
01-04-16;9,34
01-05-16;9,62
01-06-16;8,98
01-07-16;8,93
01-08-16;8,95
01-09-16;8,78
01-10-16;8,27
01-11-16;7,64
01-12-16;6,58
01-01-17;5,94
01-02-17;5,02
01-03-17;4,73
01-04-17;4,41
01-05-17;3,77
01-06-17;3,52
01-07-17;2,78
01-08-17;2,68
01-09-17;2,56
01-10-17;2,71
01-11-17;2,77
01-12-17;2,94
01-01-18;3,02
01-02-18;2,86
01-03-18;2,8
01-04-18;2,8
01-05-18;2,7
01-06-18;3,68
01-07-18;4,53
01-08-18;4,3
01-09-18;4,28
01-10-18;4,53
01-11-18;4,39
01-12-18;3,86
01-01-19;3,77
01-02-19;3,73
01-03-19;4,18
01-04-19;4,71
01-05-19;4,93
01-06-19;3,84
01-07-19;3,27
01-08-19;3,22
01-09-19;3,22
01-10-19;2,72
01-11-19;2,67
01-12-19;3,91
01-01-20;4,34
01-02-20;4,21
01-03-20;3,67
01-04-20;2,92
01-05-20;1,96
01-06-20;1,92
01-07-20;2,13
01-08-20;2,28
01-09-20;2,65
01-10-20;3,52
01-11-20;4,22
01-12-20;4,23
01-01-21;4,3
01-02-21;4,57
01-03-21;5,52
01-04-21;6,17
